question,expected_answer,user_type,status
"¿Cómo reajustar el termostato inteligente después de un corte de luz?", "Generalmente se reajusta solo al restablecerse la energía, pero si no, verificar manual en sección 'Troubleshooting' o usar la app móvil.", "cliente", "pendiente"
"Error E10 en caldera AC000026, baja presión.", "Revisar manómetro del circuito de calefacción. Si está bajo (<1 bar), rellenar según manual. Si persiste, puede haber fuga y requiere técnico.", "cliente", "pendiente"
"¿Cuál es la vida útil esperada de un panel solar monocristalino AC000051?", "La garantía de producción suele ser de 25 años, la vida útil puede exceder los 30 años con mantenimiento adecuado.", "administrador", "revisado"
"Especificaciones técnicas completas del modelo AC000042 para un informe.", "Consultar ficha técnica del producto en el sistema de documentación.", "tecnico", "pendiente"
"¿Mi bomba de calor aerotérmica AC000030 necesita mantenimiento anual obligatorio?", "Sí, para mantener la garantía y asegurar eficiencia óptima, se recomienda mantenimiento anual por técnico cualificado.", "cliente", "pendiente"
"Configuración JSON para sensor de temperatura/humedad AC000078 en sala de servidores.", "{""ubicacion"": ""Sala Servidores"", ""intervalo_medicion_seg"": 60, ""umbral_temp_alarma_c"": 30.0}", "tecnico", "pendiente"
"¿Cómo se purga un radiador de panel de acero AC000033?", "Usar llave de purga en la válvula superior, abrir lentamente hasta que salga agua sin aire. Cerrar. Verificar presión caldera.", "cliente", "revisado"
"El deshumidificador AC000134 no recoge agua, ¿por qué?", "Revisar si el depósito está lleno, si el filtro está limpio, si la temperatura ambiente es adecuada o si hay error en el sensor de humedad.", "cliente", "pendiente"
"Necesito el manual de instalación de la válvula mezcladora termostática AC000113.", "Disponible en el repositorio de documentación técnica, buscar por SKU.", "administrador", "pendiente"
"¿Qué significa el error S1 en caldera AC000026?", "Error S1 generalmente indica un problema con la sonda de temperatura de ACS.", "tecnico", "pendiente"
"¿Cada cuánto debo limpiar los filtros de mi AC split AC000001?", "Depende del uso, pero generalmente cada 1-3 meses. Si hay mucho polvo, más a menudo.", "cliente", "revisado"
"La bomba circuladora AC000105 hace ruido, ¿es normal?", "Un ruido excesivo puede indicar aire en el circuito o un problema en el motor. Requeriría revisión técnica.", "tecnico", "pendiente"
"¿Puedo instalar yo mismo el detector de humo inalámbrico AC000074?", "Sí, son fáciles de instalar (generalmente con tornillos o adhesivo) y emparejar con el hub.", "cliente", "revisado"
"¿Cómo se sustituye la lámpara UV-C del esterilizador AC000137?", "Desconectar equipo, abrir compartimento según manual, retirar lámpara vieja, insertar nueva. Usar guantes.", "tecnico", "pendiente"
"Información sobre garantía del inversor híbrido AC000056.", "La garantía estándar es de 10 años, puede haber extensión con contrato de servicio.", "administrador", "revisado"
"Mi AC portátil AC000007 gotea agua, ¿qué hago?", "Verificar que el depósito de condensados no esté lleno o que la manguera de drenaje esté bien conectada y sin obstrucciones.", "cliente", "pendiente"
"Necesito saber el diámetro exacto de la tubería PEX AC000142.", "Las especificaciones indican 20mm.", "tecnico", "pendiente"
"¿Qué productos son compatibles con el sistema multi-zona AC000008?", "Generalmente las unidades interiores de la misma marca y serie (verificar modelos específicos como AC000017, AC000018, AC000019).", "administrador", "revisado"
"Error de comunicación en medidor de energía AC000090, Modbus.", "Verificar cableado RS485, configuración de dirección Modbus en el medidor y en el sistema de lectura.", "tecnico", "pendiente"
"¿Funciona el sensor de movimiento AC000075 en exteriores?", "No, está diseñado para interiores (PIR) y puede dar falsas alarmas en exteriores por cambios de temperatura/sol.", "cliente", "revisado"
"Información sobre eficiencia energética de caldera AC000026.", "Tiene una eficiencia ERP de A+ (94% de eficiencia estacional).", "administrador", "pendiente"
"¿Puedo añadir más paneles solares a mi instalación con inversor AC000054?", "Sí, hasta la capacidad máxima del inversor (5kW) y del diseño de la string. Consultar ficha técnica del inversor.", "cliente", "revisado"
"Problema con vaso de expansión AC000109, pierde presión rápidamente.", "Indica posible daño en la membrana interna. Requeriría sustitución del vaso.", "tecnico", "pendiente"
