chat_id,order_id,client_id,start_timestamp,end_timestamp,topic
"CHAT1001","ORD0001",1,"2024-03-09 10:15:00","2024-03-09 10:30:00","Consulta Producto y Pedido"
"CHAT1002","ORD0002",2,"2024-03-09 11:00:00","2024-03-09 11:45:00","Consulta Proyecto Comercial"
"CHAT1003","ORD0003",3,"2024-03-09 14:00:00","2024-03-09 14:10:00","Duda Accesorios Calefaccion"
"CHAT1004","ORD0004",4,"2024-03-09 16:30:00","2024-03-09 16:35:00","Consulta Válvula"
"CHAT1005","ORD0005",5,"2024-03-10 09:00:00","2024-03-10 09:20:00","Pedido Equipo AC"
"CHAT1006","ORD0006",6,"2024-03-10 10:30:00","2024-03-10 10:45:00","Presupuesto Instalación Split"
"CHAT1007","ORD0007",7,"2024-03-10 11:15:00","2024-03-10 11:25:00","Consulta Termostato"
"CHAT1008","ORD0008",8,"2024-03-10 12:00:00","2024-03-10 12:10:00","Duda Registrador Datos"
"CHAT1009","ORD0009",9,"2024-03-10 14:30:00","2024-03-10 15:00:00","Consulta Caldera Gas"
"CHAT1010","ORD0010",10,"2024-03-10 16:00:00","2024-03-10 16:25:00","Información Bomba Calor"
"CHAT1011","ORD0011",11,"2024-03-11 09:30:00","2024-03-11 09:40:00","Pedido Unidades Interior"
"CHAT1012","ORD0012",12,"2024-03-11 10:00:00","2024-03-11 10:15:00","Consulta Termo Eléctrico"
"CHAT1013","ORD0013",13,"2024-03-11 11:30:00","2024-03-11 11:50:00","Duda Inversor Solar y Cables"
"CHAT1014","ORD0014",14,"2024-03-11 14:00:00","2024-03-11 14:05:00","Consulta Sensores"
"CHAT1015","ORD0015",15,"2024-03-11 15:00:00","2024-03-11 15:20:00","Pedido Sistema Multi-Zona"
"CHAT1016","ORD0016",16,"2024-03-11 16:00:00","2024-03-11 16:08:00","Consulta Radiador y Válvula"
"CHAT1017","ORD0017",17,"2024-03-12 09:00:00","2024-03-12 09:30:00","Información VRC y Conductos"
"CHAT1018","ORD0018",18,"2024-03-12 10:00:00","2024-03-12 10:10:00","Duda Medidor Energía"
"CHAT1019","ORD0019",19,"2024-03-12 11:00:00","2024-03-12 11:20:00","Pedido Acumulador ACS y Válvulas"
"CHAT1020","ORD0020",20,"2024-03-12 14:00:00","2024-03-12 14:15:00","Consulta Conectores Solares"
"CHAT1022","ORD0022",22,"2024-03-13 09:00:00","2024-03-13 09:25:00","Presupuesto Caldera y Filtros"
"CHAT1023","ORD0023",23,"2024-03-13 10:00:00","2024-03-13 10:15:00","Consulta Sensores Movimiento/Fuga"
"CHAT1024","ORD0024",24,"2024-03-13 11:00:00","2024-03-13 11:30:00","Pedido Batería y Inversor Solar"
"CHAT1026","ORD0026",26,"2024-03-13 14:00:00","2024-03-13 14:20:00","Información Sistema Central AC"
"CHAT1027","ORD0027",27,"2024-03-13 15:00:00","2024-03-13 15:10:00","Duda Detectores"
"CHAT1028","ORD0028",28,"2024-03-13 16:00:00","2024-03-13 16:20:00","Pedido Termo Bomba Calor"
"CHAT1029","ORD0029",29,"2024-03-14 09:00:00","2024-03-14 09:15:00","Consulta Tubería Suelo Radiante"
"CHAT1031","ORD0031",31,"2024-03-14 10:00:00","2024-03-14 10:18:00","Pedido AC Ventana"
"CHAT1032","ORD0032",32,"2024-03-14 11:00:00","2024-03-14 11:25:00","Información Caldera Mixta"
"CHAT1033","ORD0033",33,"2024-03-14 14:00:00","2024-03-14 14:08:00","Consulta Termostato Digital"
"CHAT1034","ORD0034",34,"2024-03-14 15:00:00","2024-03-14 15:10:00","Duda Conductos"
"CHAT1036","ORD0036",36,"2024-03-14 16:00:00","2024-03-14 16:20:00","Pedido Split Inverter"
"CHAT1037","ORD0037",37,"2024-03-15 09:00:00","2024-03-15 09:25:00","Consulta Medidor Energía Trifásico"
"CHAT1038","ORD0038",38,"2024-03-15 10:00:00","2024-03-15 10:10:00","Duda Filtro Magnético"
"CHAT1039","ORD0039",39,"2024-03-15 11:00:00","2024-03-15 11:20:00","Presupuesto Montaje Suelo Solar"
"CHAT1040","ORD0040",40,"2024-03-15 14:00:00","2024-03-15 14:15:00","Consulta PTAC"
"CHAT1042","ORD0042",42,"2024-03-15 15:00:00","2024-03-15 15:20:00","Información Sensor Presión"
"CHAT1043","ORD0043",43,"2024-03-15 16:00:00","2024-03-15 16:15:00","Duda Deshumidificador"
"CHAT1044","ORD0044",44,"2024-03-18 09:00:00","2024-03-18 09:15:00","Consulta Bomba Presurizadora"
"CHAT1045","ORD0045",45,"2024-03-18 10:00:00","2024-03-18 10:30:00","Pedido Inversor Híbrido y Batería"
"CHAT1047","ORD0047",1,"2024-03-18 11:00:00","2024-03-18 11:20:00","Consulta Split Inverter 12000"
"CHAT1048","ORD0048",2,"2024-03-18 14:00:00","2024-03-18 14:20:00","Información Caldera Gasóleo"
"CHAT1049","ORD0049",3,"2024-03-18 15:00:00","2024-03-18 15:10:00","Duda Detectores Humo/CO"
"CHAT1050","ORD0050",4,"2024-03-18 16:00:00","2024-03-18 16:05:00","Consulta Racores Tubería"
"CHAT1052","ORD0052",6,"2024-03-19 09:00:00","2024-03-19 09:20:00","Pedido Kit Montaje Solar Plano"
"CHAT1053","ORD0053",7,"2024-03-19 10:00:00","2024-03-19 10:25:00","Consulta Split Inverter 24000"
"CHAT1054","ORD0054",8,"2024-03-19 11:00:00","2024-03-19 11:15:00","Duda Sensores Ambientales"
"CHAT1055","ORD0055",9,"2024-03-19 14:00:00","2024-03-19 14:15:00","Consulta Radiador Zócalo"
"CHAT1056","ORD0056",10,"2024-03-19 15:00:00","2024-03-19 15:20:00","Información VREC"
"CHAT1057","ORD0057",11,"2024-03-19 16:00:00","2024-03-19 16:45:00","Pedido Herramientas Especiales"
"CHAT1058","ORD0058",12,"2024-03-20 09:00:00","2024-03-20 09:10:00","Consulta Panel Solar Flexible"
"CHAT1059","ORD0059",13,"2024-03-20 10:00:00","2024-03-20 10:20:00","Duda Sistema Central por Ductos"
"CHAT1060","ORD0060",14,"2024-03-20 11:00:00","2024-03-20 11:10:00","Consulta Sensores Varios"
"CHAT1062","ORD0062",16,"2024-03-20 14:00:00","2024-03-20 14:15:00","Pedido Termo Eléctrico 100L"
"CHAT1063","ORD0063",17,"2024-03-20 15:00:00","2024-03-20 15:20:00","Información Inversor Solar Trifásico"
"CHAT1064","ORD0064",18,"2024-03-20 16:00:00","2024-03-20 16:10:00","Duda Actuador Fan Coil"
"CHAT1065","ORD0065",19,"2024-03-21 09:00:00","2024-03-21 09:20:00","Presupuesto Radiadores Aluminio y Acero"
"CHAT1066","ORD0066",20,"2024-03-21 10:00:00","2024-03-21 10:15:00","Consulta Válvulas Antirretorno"
"CHAT1068","ORD0068",22,"2024-03-21 14:00:00","2024-03-21 14:10:00","Duda AC Portátil"
"CHAT1069","ORD0069",23,"2024-03-21 15:00:00","2024-03-21 15:20:00","Pedido Caldera Eléctrica"
"CHAT1070","ORD0070",24,"2024-03-21 16:00:00","2024-03-21 16:08:00","Consulta Sensores Caudal/Flujo"
"CHAT1071","ORD0071",25,"2024-03-22 09:00:00","2024-03-22 09:15:00","Pedido Tubería PEX y Racores"
"CHAT1073","ORD0073",27,"2024-03-22 10:00:00","2024-03-22 10:20:00","Información Interruptores Solares"
"CHAT1074","ORD0074",28,"2024-03-22 11:00:00","2024-03-22 11:10:00","Duda Unidades Interior Mini-Split"
"CHAT1075","ORD0075",29,"2024-03-22 14:00:00","2024-03-22 14:08:00","Consulta Sensores Varios"
"CHAT1076","ORD0076",30,"2024-03-22 15:00:00","2024-03-22 15:20:00","Presupuesto Bomba Calor Baja Temperatura"
"CHAT1078","ORD0078",32,"2024-03-22 16:00:00","2024-03-22 16:10:00","Consulta Válvula Compuerta"
"CHAT1079","ORD0079",33,"2024-03-25 09:00:00","2024-03-25 09:20:00","Pedido Colector Solar Térmico"
"CHAT1080","ORD0080",34,"2024-03-25 10:00:00","2024-03-25 10:25:00","Información Multi-Zona 18000"
"CHAT1081","ORD0081",35,"2024-03-25 11:00:00","2024-03-25 11:15:00","Duda Sensor Nivel Ultrasónico"
"CHAT1083","ORD0083",37,"2024-03-25 14:00:00","2024-03-25 14:15:00","Consulta Bomba Circuladora"
"CHAT1084","ORD0084",38,"2024-03-25 15:00:00","2024-03-25 15:25:00","Pedido Inversores Solares"
"CHAT1085","ORD0085",39,"2024-03-25 16:00:00","2024-03-25 16:10:00","Consulta Termostato Protección"
"CHAT1086","ORD0086",40,"2024-03-26 09:00:00","2024-03-26 09:20:00","Información Caldera Leña"
"CHAT1087","ORD0087",41,"2024-03-26 10:00:00","2024-03-26 10:15:00","Duda Separadores"
"CHAT1089","ORD0089",43,"2024-03-26 11:00:00","2024-03-26 11:20:00","Pedido Split 18000"
"CHAT1090","ORD0090",44,"2024-03-26 14:00:00","2024-03-26 14:15:00","Consulta Bomba Calor Aire-Agua"
"CHAT1091","ORD0091",45,"2024-03-26 15:00:00","2024-03-26 15:10:00","Duda Sensor Luz"
"CHAT1092","ORD0092",46,"2024-03-26 16:00:00","2024-03-26 16:15:00","Consulta Humidificador"
"CHAT1093","ORD0093",1,"2024-03-27 09:00:00","2024-03-27 09:05:00","Consulta Válvula Reductora"
"CHAT1094","ORD0094",2,"2024-03-27 10:00:00","2024-03-27 10:20:00","Pedido Batería Solar"
"CHAT1095","ORD0095",3,"2024-03-27 11:00:00","2024-03-27 11:25:00","Presupuesto Sistema Central AC"
"CHAT1096","ORD0096",4,"2024-03-27 14:00:00","2024-03-27 14:10:00","Duda Detector Presencia"
