client_id,start_date,end_date,type,terms
1,"2022-03-15","2024-03-15","mantenimiento preventivo","Contrato de mantenimiento preventivo anual."
2,"2023-01-10","2025-01-10","servicio integral","Contrato que cubre mantenimiento preventivo y correctivo."
3,"2024-01-01","2027-01-01","garantia extendida","Extensión de garantía por 3 años."
4,"2020-05-20","2021-05-20","instalacion","Contrato relacionado con la instalación de un equipo."
5,"2023-11-01","2025-11-01","mantenimiento preventivo","Contrato de mantenimiento preventivo bienal."
6,"2024-02-18","2026-02-18","servicio integral","Servicio integral de equipos HVAC."
7,"2022-07-01","2025-07-01","garantia extendida","Garantía adicional por 3 años para termostato."
8,"2024-03-01","2025-03-01","mantenimiento preventivo","Mantenimiento anual para purificador de aire."
9,"2021-04-01","2024-04-01","servicio integral","Contrato de servicio completo para sistema de calefacción."
10,"2023-09-10","2025-09-10","mantenimiento preventivo","Mantenimiento programado para bomba de calor."
11,"2024-05-01","2026-05-01","garantia extendida","Garantía extendida para unidad mini-split."
12,"2023-02-15","2025-02-15","mantenimiento preventivo","Revisión anual termo eléctrico."
13,"2024-06-01","2029-06-01","garantia extendida","Extensión de garantía de panel solar por 5 años."
14,"2023-07-01","2025-07-01","mantenimiento preventivo","Mantenimiento periódico de sensores."
15,"2022-09-20","2024-09-20","servicio integral","Contrato integral para sistema multi-zona."
16,"2021-11-11","2024-11-11","mantenimiento preventivo","Mantenimiento anual de radiadores."
17,"2024-08-01","2026-08-01","garantia extendida","Garantía extendida para VRC."
18,"2024-04-01","2025-04-01","mantenimiento preventivo","Revisión anual medidor de energía."
19,"2023-10-25","2025-10-25","mantenimiento preventivo","Mantenimiento anual acumulador ACS."
20,"2024-07-10","2026-07-10","garantia extendida","Garantía extendida para AC portátil."
21,"2024-03-10","2025-03-10","instalacion","Contrato de instalación de un split nuevo."
22,"2023-04-11","2025-04-11","servicio integral","Servicio integral para caldera."
23,"2024-01-20","2026-01-20","garantia extendida","Garantía extendida sensor de movimiento."
24,"2023-09-05","2028-09-05","garantia extendida","Extensión de garantía batería solar por 5 años."
25,"2021-09-01","2024-09-01","mantenimiento preventivo","Mantenimiento anual bomba circuladora."
26,"2022-07-07","2025-07-07","servicio integral","Servicio integral sistema central por ductos."
27,"2024-01-20","2026-01-20","garantia extendida","Garantía extendida detector de presencia."
28,"2022-10-19","2025-10-19","servicio integral","Servicio integral termo bomba de calor ACS."
29,"2023-02-28","2025-02-28","mantenimiento preventivo","Mantenimiento preventivo suelo radiante."
30,"2023-09-05","2028-09-05","garantia extendida","Extensión de garantía kit montaje solar por 5 años."
31,"2023-06-21","2025-06-21","mantenimiento preventivo","Mantenimiento anual AC ventana."
32,"2023-05-15","2025-05-15","servicio integral","Servicio integral caldera mixta."
33,"2024-01-20","2025-01-20","mantenimiento preventivo","Mantenimiento anual termostato digital."
34,"2023-07-01","2024-07-01","instalacion","Contrato de instalación de conductos."
35,"2021-05-22","2023-05-22","instalacion","Contrato de instalación de válvula de radiador."
36,"2024-03-15","2027-03-15","garantia extendida","Garantía extendida split inverter."
37,"2024-01-30","2025-01-30","mantenimiento preventivo","Revisión anual medidor energía trifásico."
38,"2021-09-01","2024-09-01","mantenimiento preventivo","Limpieza anual filtro magnético."
39,"2023-09-05","2028-09-05","garantia extendida","Extensión de garantía sistema montaje suelo solar 5 años."
40,"2022-02-01","2024-02-01","mantenimiento preventivo","Mantenimiento anual PTAC."
41,"2022-06-14","2025-06-14","servicio integral","Servicio integral bomba de calor (exterior)."
42,"2024-01-20","2025-01-20","mantenimiento preventivo","Calibración anual sensor presión."
