chat_id,message_timestamp,sender,message_text
"CHAT1001","2024-03-09 10:15:30","cliente","Hola, estoy interesado en el split inverter de 9000 BTU (AC000013)."
"CHAT1001","2024-03-09 10:16:10","agente","Hola! Claro, ¿qué información necesitas sobre el AC000013?"
"CHAT1001","2024-03-09 10:17:05","cliente","Quería saber si es suficiente para un salón de unos 25m² y si incluye los filtros estándar."
"CHAT1001","2024-03-09 10:18:00","agente","Sí, 9000 BTU es adecuado para ese tamaño. Incluye filtros plisados (AC000023). La base exterior (AC000025) se vende aparte si la necesitas."
"CHAT1001","2024-03-09 10:19:15","cliente","OK. También necesitaría 2 filtros más y la base. ¿Podéis crear un pedido con todo?"
"CHAT1001","2024-03-09 10:20:00","agente","Sí, con gusto. Te genero un pedido que incluya el split AC000013, 2x AC000023 y 1x AC000025."
"CHAT1001","2024-03-09 10:29:00","agente","Tu pedido es el ORD0001. Puedes revisarlo y proceder al pago aquí: [link ficticio]"
"CHAT1001","2024-03-09 10:30:00","cliente","Recibido, gracias!"
"CHAT1002","2024-03-09 11:00:45","cliente","Buenos días, somos de la empresa [Nombre Empresa], necesitamos un presupuesto para un sistema de climatización comercial para una nave industrial. SKU AC000042."
"CHAT1002","2024-03-09 11:01:30","agente","Buenos días. El equipo AC000042 es una unidad de tejado de 5 Ton. Necesitaríamos más detalles del proyecto (m2, altura, uso) para ajustar la oferta. ¿Han considerado filtros de alta eficiencia (AC000024)? Son recomendables para espacios comerciales."
"CHAT1002","2024-03-09 11:03:55","cliente","La nave tiene X m2 y Y metros de altura. Uso: almacén y oficinas. Queremos incluir filtros HEPA si es posible."
"CHAT1002","2024-03-09 11:05:00","agente","Entendido. El AC000042 es adecuado, y podemos añadir 3 unidades del filtro HEPA AC000024 a la cotización inicial. El pedido ORD0002 reflejaría el equipo y los filtros."
"CHAT1002","2024-03-09 11:44:00","agente","He generado un borrador de pedido (ORD0002) con el equipo y 3 filtros HEPA. Un asesor comercial les contactará en breve para revisar detalles y añadir instalación si la necesitan."
"CHAT1002","2024-03-09 11:45:00","cliente","Perfecto, esperamos su llamada."
"CHAT1003","2024-03-09 14:00:10","cliente","Buenas, he comprado un radiador (AC000033), ¿qué válvula y racores necesito?"
"CHAT1003","2024-03-09 14:00:50","agente","Hola, para un radiador estándar de panel de acero, se suelen usar válvulas de radiador (manuales o termostáticas, ej. AC000147, AC000148) y los racores de compresión (AC000143) correspondientes al diámetro de tu tubería (normalmente 15mm)."
"CHAT1003","2024-03-09 14:02:00","cliente","Ok, pido 1 válvula manual y 5 racores de 15mm entonces."
