technician_id,client_id,equipment_id,date,type,result,document_url
1,1,1,"2021-07-10","instalacion","Instalación inicial del equipo AC000015 (Split AC 9000 BTU). Puesta en marcha y pruebas OK.",null
2,2,2,"2022-01-20","instalacion","Instalación de unidad comercial AC000042 (Rooftop AC 5 Ton). Conexiones eléctricas y frigoríficas verificadas.",null
3,3,3,"2023-03-05","instalacion","Montaje y conexionado de actuador AC000088 (Actuador (Damper)). Integración con sistema BMS.",null
4,4,4,"2020-11-11","instalacion","Instalación de válvula de seguridad AC000112 (Safety Relief Valve 3 bar) en circuito primario de calefacción.",null
5,5,5,"2023-08-20","instalacion","Instalación de panel solar AC000051 (Monocrystalline Solar Panel 400W). Orientación e inclinación correctas.",null
6,6,6,"2022-04-18","instalacion","Instalación de split AC000003 (Split System AC 18000 BTU) en dormitorio principal. Prueba de frío/calor OK.",null
7,7,7,"2023-01-25","instalacion","Instalación y configuración inicial de termostato inteligente AC000071 (Smart Thermostat). Conectado a red Wi-Fi.",null
8,8,8,"2024-01-15","instalacion","Instalación de purificador de aire AC000133 (Air Purifier) en zona de estar. Prueba de funcionamiento OK.",null
9,9,9,"2021-09-01","instalacion","Instalación de caldera AC000026 (High-Efficiency Gas Boiler 24kW). Puesta en marcha, purga y pruebas de estanqueidad de gas y agua.",null
10,10,10,"2022-06-14","instalacion","Instalación de bomba de calor AC000030 (Air Source Heat Pump 7kW Monobloc). Conexión a sistema hidrónico.",null
1,11,11,"2023-05-30","instalacion","Instalación de unidad interior mini-split AC000018 (Mini-Split Indoor Unit 12000 BTU) en Dormitorio 2. Conectada a unidad exterior AC000008.",null
2,12,12,"2024-02-10","instalacion","Instalación de termo eléctrico AC000101 (Electric Water Heater 50L). Conexiones agua y eléctrica realizadas.",null
3,13,13,"2023-09-05","instalacion","Instalación de inversor solar AC000054 (Solar Inverter 5kW Monofásico). Conexión a paneles y a red eléctrica. Puesta en marcha.",null
4,14,14,"2024-01-20","instalacion","Instalación de sensor de temperatura y humedad AC000078 (Temperature & Humidity Sensor) en bodega. Calibración inicial.",null
5,15,15,"2022-03-17","instalacion","Instalación de unidad exterior multi-zona AC000008 (Multi-Zone Ductless AC 27000 BTU). Conexión a 3 unidades interiores.",null
6,16,16,"2021-05-22","instalacion","Instalación de radiador AC000033 (Steel Panel Radiator 600x1000mm) en pasillo. Purga de aire realizada.",null
7,17,17,"2023-07-01","instalacion","Instalación de ventilador con recuperador de calor AC000121 (HRV 300m³/h). Conexión a red de conductos.",null
8,18,18,"2024-01-30","instalacion","Instalación de medidor de energía monofásico AC000090 (Energy Meter Single Phase). Conexión a cuadro eléctrico y Modbus.",null
9,19,19,"2022-08-14","instalacion","Instalación de acumulador de ACS AC000044 (DHW Storage Tank 200L). Conexión a caldera (no incluida en esta visita).",null
10,20,20,"2023-09-05","instalacion","Instalación de conectores MC4 AC000063 (MC4 Connector Pair) en cableado solar. Se utilizaron 10 pares.",null
1,21,21,"2024-03-10","instalacion","Instalación de split AC000001 (Split System AC 9000 BTU) en despacho. Carga de refrigerante correcta.",null
2,22,22,"2023-04-11","instalacion","Instalación de caldera AC000027 (High-Efficiency Gas Boiler 30kW). Configuración inicial y pruebas de seguridad.",null
3,23,23,"2024-01-20","instalacion","Instalación de sensor de movimiento AC000075 (Motion Sensor PIR) en entrada. Prueba de detección OK.",null
4,24,24,"2023-09-05","instalacion","Instalación de batería solar AC000057 (Solar Battery 10kWh). Conexión a inversor (AC000056).",null
5,25,25,"2021-09-01","instalacion","Instalación de bomba circuladora AC000105 (Circulator Pump) en circuito de calefacción principal. Puesta en marcha.",null
6,26,26,"2022-07-07","instalacion","Instalación de sistema central por ductos AC000010 (Central Ducted AC 3 Ton). Montaje unidad exterior y conexión a red de conductos interior.",null
7,27,27,"2024-01-20","instalacion","Instalación de detector de presencia AC000098 (Presence Detector) en hall. Configuración de temporizador.",null
8,28,28,"2022-10-19","instalacion","Instalación de termo bomba de calor ACS AC000046 (DHW Heat Pump Water Heater 250L). Conexión hidráulica y eléctrica.",null
9,29,29,"2023-02-28","instalacion","Instalación de tubería PEX AC000035 (Underfloor Heating Pipe 16mm) para suelo radiante. Distribución según plano.",null
10,30,30,"2023-09-05","instalacion","Instalación de kit de montaje solar AC000059 (Solar Mounting Kit Pitched Roof) para 8 paneles. Fijación a estructura de tejado.",null
1,31,31,"2023-06-21","instalacion","Instalación de AC de ventana AC000005 (Window AC Unit 5000 BTU). Sellado perimetral correcto.",null
2,32,32,"2023-05-15","instalacion","Instalación de caldera mixta AC000039 (Condensing Combi Boiler 35kW). Conexiones gas, agua y desagüe. Puesta en marcha.",null
3,33,33,"2024-01-20","instalacion","Instalación de termostato digital AC000072 (Digital Thermostat). Cableado a caldera.",null
4,34,34,"2023-07-01","instalacion","Instalación de conductos flexibles AC000125 (Ducting Flexible Insulated 150mm). Conexión a rejillas y unidad VRC.",null
5,35,35,"2021-05-22","instalacion","Instalación de válvula de radiador AC000148 (Radiator Valve Thermostatic Straight). Prueba de cierre OK.",null
6,36,36,"2024-03-15","instalacion","Instalación de split inverter AC000013 (Inverter Split AC 9000 BTU). Carga de gas y pruebas de funcionamiento.",null
7,37,37,"2024-01-30","instalacion","Instalación de medidor de energía trifásico AC000091 (Energy Meter Three Phase). Conexión a suministro general y sistema de monitorización.",null
8,38,38,"2021-09-01","instalacion","Instalación de filtro magnético AC000119 (Magnetic Filter 22mm) en circuito de calefacción.",null
9,39,39,"2023-09-05","instalacion","Instalación de sistema de montaje en suelo solar AC000066 (Ground Mount System 10 Panels). Cimentación y estructura completadas.",null
10,40,40,"2022-02-01","instalacion","Instalación de PTAC AC000020 (Packaged Terminal AC 15000 BTU) en muro exterior. Sellado perimetral.",null
1,41,41,"2022-06-14","instalacion","Instalación de bomba de calor AC000031 (Air Source Heat Pump 10kW Split - Unidad Exterior). Conexión a unidades interiores.",null
